instrumentIdentifier,CNLP_rating
47078982LTRL 0774986@AM3,A3
70409011NMS0 0774986@AX9,A3
70958211LEQ0 2674986@AZ4,A3
70957941LTRI 0774986@BA8,A3
3736933FMD1 0775915#AA0,Baa3
66226611NMS0 1P76132FA@6,Baa3
66226621LUL1 0776132FA@6,Baa3
66226691ESPS 1076132FA@6,Baa3
71414751HHE0 1076169#AL7,Baa2
71414761HHE0 2676169#AL7,Baa2
60385771NMS0 2678467KC#2,A3
60385781NMS0 1078467KC#2,A3
55144431FMD1 1078488@AA3,A3
55144451LUL0 0778488@AA3,A3
55144491HHE0 1078488@AA3,A3
55144631NMS0 1C78488@AA3,A3
55593531LTR0 2678488@AB1,A3
55593581NMS0 2378488@AB1,A3
70297111FMD1 0778488@AG0,A3
70298191HHE0 0778488@AG0,A3
70298201LEQ0 1078488@AJ4,A3
3740581LUL0 0779781*AG4,A3
3740591ESPL 0779781*AG4,A3
3740601LULA 0779781*AH2,A3
3740612LULA 0779781*AH2,A3
18793931LULX 0780689*AL4,Ba3
18793941LTR0 2680689*AL4,Ba3
18793951LTR0 0780689*AL4,Ba3
18794091FMD5 0780689*AL4,Ba3
56976201LEQ5 2682011@AC7,A3
48530681LEQ0 2683379#AB1,Baa1
48530571FMD1 0783379#AC9,Baa1
48530691LUL0 0783379#AC9,Baa1
48530711HHE0 1083379#AC9,Baa1
69739411LTRL 07838518E#1,Baa2
69739141FMD1 07838518E@3,Baa2
49309141ESPS 1084611#AE1,Baa2
49309181HLT0 2684611#AE1,Baa2
59839471ESPS 1084611#AF8,Baa2
48424411FMD5 26848609AA1,Baa3
48424852LEQ0 26848609AA1,Baa3
48424861LEQ0 26848609AA1,Baa3
48424881LUL0 1P848609AA1,Baa3
48425641LTRL 07848609AA1,Baa3
45363421FMD5 2685234#AB1,Baa3
62030241ESPS 0786801FA@5,Baa3
62030091ESPS 1086801FA*7,Baa3
62030221LUL0 0786801FA*7,Baa3
33283631FMD1 07879360A#2,Baa1
41414781ESPA 1088553#AA0,Aa3
41414791LUL0 0788553#AA0,Aa3
30247331FMD1 0789407#AF5,Baa2
30247341ESPL 0789407#AF5,Baa2
30248121FMD1 0789407#AG3,Baa2
30248171LUL0 0789407#AG3,Baa2
51910571HLT0 2689566EA#5,A2
51910711NMS0 L289566EA#5,A2
51910402FMDL 0789566EB@6,A2
51910403FMDL 0789566EB@6,A2
51190611FMD5 0790363@AB6,A3
51190781LTR0 0790363@AB6,A3
61782131LEQ0 2690964*AG0,Baa3
61782132LEQ0 2690964*AG0,Baa3
54504791FMD1 0791845#AA2,Baa1
54504821LTR0 0791845#AA2,Baa1
60179591ESPS 1091854*AA4,Baa1
60179741LUL0 1P91854*AA4,Baa1
51019612LUL0 1P92783#AA4,A3
51019621LUL0 1P92783#AA4,A3
51019801LULT 0792783#AA4,A3
52569541LUL0 0797314@AA3,A3
52572241LUL0 1P97314@AA3,A3
55802121FMD1 0797786#AK8,Baa1
55802151NMS0 2697786#AK8,Baa1
55802221ESPS 1097786#AK8,Baa1
55802261HLT0 2697786#AK8,Baa1
55802171FMD5 2697786#AL6,Baa1
55802202FMD5 0797786#AL6,Baa1
55802203FMD5 0797786#AL6,Baa1
55802241FMD5 1C97786#AL6,Baa1
65964721NMS0 2397786#AN2,Baa1
65968211LULT 0797786#AN2,Baa1
39338121HLT0 26C2617@AC0,Baa2
39338141HHE0 07C2617@AC0,Baa2
39338343LUL0 07C2617@AC0,Baa2
39339804LUL0 07C2617@AC0,Baa2
46381781ESPA 10C4861*AE7,Baa2
46042341ESPS 10C4861*AJ6,Baa2
46042841LTR0 10C4861*AJ6,Baa2
46042331FMD5 26C4861*AL1,Baa2
46042451FMD5 07C4861*AL1,Baa2
46042581FMD5 1CC4861*AL1,Baa2
71030851HHE0 07C4861*AN7,Baa3
71030051FMD1 07C4861*AP2,Baa3
71030201LUL0 26C4861*AQ0,Baa3
49247931ESPA 10D2736#AM1,Baa3
49248161LUL0 07D2736#AN9,Baa3
16777001LTR0 26D8308*AC2,Baa1
47168831HHE0 07F3166#AE4,A2
58740781HLTB 26G0369@AW6,A3
45477152ESPS 10G0566*AA7,Baa2
45477153ESPS 10G0566*AA7,Baa2
45477611FMD1 07G0566*AA7,Baa2
45477691LEQ0 26G0566*AA7,Baa2
19933561LUL0 07G1591#AF9,Baa2
19933572FMD5 07G1591#AF9,Baa2
19933581HHE0 26G1591#AF9,Baa2
19933592ESPL 07G1591#AF9,Baa2
68404362LUL0 26G1591#BD3,Baa2
68404352LUL0 26G1591#BF8,Baa2
49756701ESPL 07G1696#BD7,Baa1
51248131LEQ0 10G1696#BE5,Baa1
67420001FMD1 07G1737@AA7,Baa2
67420021NMS0 10G1737@AB5,Baa2
67420121LUL0 07G1737@AB5,Baa2
67425712NMS0 10G1737@AC3,Baa2
67425722LUL0 07G1737@AC3,Baa2
25236181LTRM 26G1744#AH1,A2
25236242HLT0 26G1744#AH1,A2
25236401HLT0 26G1744#AH1,A2
44589721FMD5 26G1745*AA9,Baa2
44590022ESPS 07G1745*AA9,Baa2
44590023ESPS 07G1745*AA9,Baa2
61279281ESPS 07G1745*AS0,Baa2
61279271LTR0 07G1745*AT8,Baa2
52988181ESPS 10G1846@AV9,Ba2
46608641ESPA 10G2044@AZ8,A3
46608651LULX 07G2044@AZ8,A3
46608871NMS0 26G2044@AZ8,A3
46608881ESPS 10G2044@AZ8,A3
46528161NMS0 10G2044@BA2,A3
46528281NMS0 1CG2044@BA2,A3
64847211FMD1 07G2479@AF6,Baa2
64847291LUL0 10G2479@AF6,Baa2
64847311ESPS 07G2479@AF6,Baa2
64847301LUL0 10G2479@AK5,Baa2
49815511ESPS 07G2616#AC5,Baa2
49815251LUL0 07G2616#AF8,Baa2
65047031FMD1 26G2616#AM3,Baa2
65047081LTR0 10G2616#AM3,Baa2
48412721LTR0 10G2956@AE1,Baa2
50565001FMD1 07G2956@AJ0,Baa2
50565081FMD5 1CG2956@AJ0,Baa2
50565131ESPS 07G2956@AJ0,Baa2
50564991FMD1 07G2956@AL5,Baa2
50565141LTRI 07G2956@AL5,Baa2
11876711HLT0 26G2978#AE3,A3
25041211LEQ0 26G3424#AF8,Baa3
25041701LEQ0 1CG3424#AF8,Baa3
25041711ESPS 10G3424#AF8,Baa3
20035041LTRM 26G4146*AC4,Baa3
20035401LUL0 07G4146*AC4,Baa3
30692231ESPS 07G5241#AF4,Baa2
30695691LUL0 07G5241#AF4,Baa2
59642881LULB 07G5963#AH6,Baa2
65948701ESPL 07G6076#AA3,Baa2
65948991LTR0 26G6076#AA3,Baa2
65948981LTR0 26G6076#AB1,Baa2
47078991LTRL 07G7332#AB9,Baa2
42701611ESPS 10G7815@AF8,A2
46312161FMD1 07G7815@AF8,A2
42701601ESPS 10G7815@AG6,A2
42701591FMD5 26G7815@AH4,A2
42701641FMD5 07G7815@AH4,A2
42701861FMD5 1CG7815@AH4,A2
70869781ESPS 07G7996#AE0,A3
70870571LEQ0 26G7996#AE0,A3
52184531ESPS 10G8228*AG7,A3
52184541ESPA 10G8228*AG7,A3
52184561HHE0 10G8228*AG7,A3
52184521ESPS 10G8228*AK8,A3
52184551HLT0 26G8228*AK8,A3
45477191LUL0 07G9284#BC0,Baa2
45477671HHE0 26G9284#BC0,Baa2
45477112FMD1 07G9284#BD8,Baa2
45477161FMD5 26G9284#BD8,Baa2
45477681LEQ0 26G9284#BD8,Baa2
39428611FMD1 26G9523#AF5,Baa3
46198171ESPS 10K3752#AG3,Baa2
46201481LTRL 07K3752#AG3,Baa2
61661461ESPS 10L0175#AC6,Baa2
61661681LUL0 26L0175#AC6,Baa2
61661471ESPS 10L0175#AD4,Baa2
61661691LEQ0 26L0175#AD4,Baa2
20260631ESPL 07N2962#AC7,A2
20260792ESPL 10N2962#AC7,A2
20260421LEQ0 26N2962#AD5,A2
20260942ESPL 07N2962#AD5,A2
20261005LUL0 10N2962#AD5,A2
20261162LUL0 07N2962#AD5,A2
20261072LUL0 07N2962#AE3,A2
20261261ESPL 07N2962#AE3,A2
42841881FMD1 10N4281@BS3,Baa2
42841891ESPS 10N4281@BS3,Baa2
42841931LUL0 07N4281@BS3,Baa2
42842121LUL0 1PN4281@BS3,Baa2
42842211LTRL 07N4281@BS3,Baa2
41765281LUL0 1PN4282*AF3,Baa1
66108401FMD1 26N4282*AF3,Baa1
21803722FMD1D07N5224#AG5,Baa3
16096561LTRM 26N7338@AC5,A3
16096571LTRM 26N7338@AD3,A3
67719271NMS0 07N7591#AA9,Baa2
67719801HHE0 07N7591#AA9,Baa2
67719831LTR0 07N7591#AA9,Baa2
52461821LEQ0 26N7891*AB8,Baa1
52461822LEQ0 26N7891*AB8,Baa1
71010311FMD1 07N7891*AF9,Baa1
71010861LTR0 26N7891*AF9,Baa1
57136161FMD1 10N9061@AA8,Baa2
57136361LUL1 07N9061@AB6,Baa2
66168572FMD1 07N9061@AF7,Baa2
66168601LUL0 1PN9061@AG5,Baa2
59542091FMD1 10P2604*AA7,Ba1
59542101ESPS 10P2604*AA7,Ba1
59542241LEQ0 26P2604*AA7,Ba1
59543111LULT 07P2604*AA7,Ba1
59567111LUL0 1PP2604*AA7,Ba1
70639301ESPL 07P3596@AA3,Baa2
70639791HLT0 26P3596@AA3,Baa2
65203201FMD1 07P4000*AA3,Baa3
65203211LTR0 26P4000*AA3,Baa3
68226851FMD1 07P4001#AA8,Baa3
68227461LTR0 07P4001#AA8,Baa3
70410133FMD1 07P4001#AA8,Baa3
70410373LTR0 07P4001#AA8,Baa3
71291314FMD1 07P4001#AA8,Baa3
71291724LTR0 07P4001#AA8,Baa3
19891331HLT0 26P7906#AA7,Baa3
19891339LULX 07P7906#AA7,Baa3
19891391LULX 07P7906#AA7,Baa3
19891621ESPL 07P7906#AA7,Baa3
21095522HLT0 26P7906#AA7,Baa3
21095561LTR0 07P7906#AA7,Baa3
21095843ESPL 07P7906#AA7,Baa3
21914062LULX 07P7906#AA7,Baa3
21914074ESPL 07P7906#AA7,Baa3
21914083HLT0 26P7906#AA7,Baa3
23022308LULX 07P7906#AA7,Baa3
23022313LULX 07P7906#AA7,Baa3
23022326ESPL 07P7906#AA7,Baa3
23933344LULX 07P7906#AA7,Baa3
23933395LULX 07P7906#AA7,Baa3
23933437ESPL 07P7906#AA7,Baa3
23933448ESPL 07P7906#AA7,Baa3
23933464HLT0 26P7906#AA7,Baa3
23933475HLT0 26P7906#AA7,Baa3
25485179ESPL 07P7906#AA7,Baa3
25485186HLT0 26P7906#AA7,Baa3
25485196LULX 07P7906#AA7,Baa3
27468877HLT0 26P7906#AA7,Baa3
274743810ESPL 07P7906#AA7,Baa3
27474397LULX 07P7906#AA7,Baa3
55217241LTR0 07Q0458*AD1,Baa1
55217261FMD5 26Q0458*AD1,Baa1
55217282FMD5 07Q0458*AD1,Baa1
55217283FMD5 07Q0458*AD1,Baa1
55217284FMD5 07Q0458*AD1,Baa1
55217291ESPS 07Q0458*AD1,Baa1
55217541NMS0 L2Q0458*AD1,Baa1
55217661LULT 07Q0458*AD1,Baa1
64913371LUL1 07Q0697#AA4,Baa1
37581661FMD1 26Q0832*AB2,A3
37581661LEQ0 26Q0832*AB2,A3
65358001LUL1 07Q1297#AK4,A3
70665391FMD1 07Q1298@AA7,Baa2
70666171LUL0 1PQ1298@AB5,Baa2
70666921HLT0 26Q1298@AB5,Baa2
35863531HLTB 26Q1629#AA5,Baa2
41679291LTR0 07Q1629#AE7,Baa2
41679471LUL0 1PQ1629#AE7,Baa2
52362861LUL0 07Q1629#AJ6,Baa2
52362631FMD1 07Q1629#AK3,Baa2
52362681FMD5 1CQ1629#AK3,Baa2
52362871HHE0 07Q1629#AK3,Baa2
44292031ESPS 07Q1842#AA6,Baa2
44290931FMD5 26Q1842#AB4,Baa2
44292041ESPS 07Q1842#AB4,Baa2
44292051ESPS 07Q1842#AC2,Baa2
44290951FMD1 07Q1842#AE8,Baa2
46540831LUL0 07Q2107#AG1,Baa2
46541491ESPS 07Q2107#AH9,Baa2
38107991LTR0 10Q2172#AJ5,Ba2
38108021ESPS 10Q2172#AJ5,Ba2
54894171FMD1 07Q2759@AA7,Baa3
54894191HLT0 26Q2759@AA7,Baa3
54894211NMS0 23Q2759@AA7,Baa3
68236821ESPS 10Q3080#AA3,A2
68237121LEQ0 26Q3080#AA3,A2
68237131LEQ0 26Q3080#AC9,A2
45675661LTR0 10Q3189*AB5,A3
45675291FMD5 26Q3189*AC3,A3
45675331FMD5 07Q3189*AC3,A3
45675351LUL0 07Q3189*AC3,A3
45675441FMD5 1CQ3189*AC3,A3
45675451ESPL 10Q3189*AC3,A3
45675671LUL0 1PQ3189*AC3,A3
65976271LTR0 26Q3189*AL3,A3
65976281LUL0 10Q3189*AL3,A3
44937872ESPS 10Q3393*AH4,Baa1
44937873ESPS 10Q3393*AH4,Baa1
51258991ESPS 10Q3629#AG8,A3
54805221ESPS 07Q3629#AJ2,A3
60132691HLT0 26Q3629#AM5,A3
60132621ESPS 07Q3629#AN3,A3
22126721FMD1 07Q3915#AB2,Ba1
59828421LULB 07Q3915*AC4,Ba1
51329281FMD5 26Q3917#AB0,Baa2
51329491LTR0 07Q3917#AB0,Baa2
41344511LUL0 07Q3946*AE3,Baa3
41343821ESPS 10Q3946*AF0,Baa3
38655671LUL0 07Q3958@AA4,Baa1
38655651FMD1 07Q3958@AC0,Baa1
45363411FMD5 26Q3971@AA7,A2
45363431ESPS 10Q3971@AA7,A2
45364101LUL0 1PQ3971@AA7,A2
45364091LUL0 1PQ3971@AB5,A2
57105461LTR1 07Q3972@AA6,Baa2
61685781LUL0 1PQ5000*AA9,A3
61685791ESPS 07Q5000*AA9,A3
70741271ESPS 10Q5664#AB0,Baa2
70741311ESPL 07Q5664#AB0,Baa2
70741241FMD1 07Q5664#AC8,Baa2
70741601LEQ0 26Q5664#AC8,Baa2
47713311LUL0 07Q6235#AE2,Baa1
47713832LEQ0 26Q6235#AE2,Baa1
47713833LEQ0 26Q6235#AE2,Baa1
47713851LEQ0 26Q6235#AE2,Baa1
60585621NMS0 23Q6235#AN2,Baa1
60585771NMS0 1PQ6235#AN2,Baa1
60586141LTRL 07Q6235#AN2,Baa1
60586391LULT 07Q6235#AN2,Baa1
53373101LULA 07Q6291#AA1,Aa1
53373102LUL0 07Q6291#AA1,Aa1
53373104LUL0 07Q6291#AA1,Aa1
53373105LUL0 07Q6291#AA1,Aa1
53373106LUL0 07Q6291#AA1,Aa1
62030101ESPS 10Q6291#AC7,Aa1
62030231LUL0 1PQ6291#AC7,Aa1
60529701LUL0 1PQ6518@AA0,Baa2
60530401HLT0 26Q6518@AA0,Baa2
54198271ESPS 10Q6518#AA8,Baa2
54198251FMD1 07Q6518#AB6,Baa2
54198261ESPS 10Q6518#AB6,Baa2
60529591ESPS 10Q6518@AC6,Baa2
57555431LTR1 07Q6518#AD2,Baa2
65477191LUL1 07Q6518@AE2,Baa2
65477571LEQ5 26Q6518@AE2,Baa2
65477582LEQ5 26Q6518@AE2,Baa2
69972621LTRL 07Q6518#AF7,Baa2
69973371NMS0 07Q6518#AF7,Baa2
67797311NMS0 07Q6518#AG5,Baa2
67078031LUL0 10Q6568@AA9,Baa1
67078391LUL1 07Q6568@AA9,Baa1
67078402LUL1 07Q6568@AA9,Baa1
67078131NMS0 L2Q6568@AC5,Baa1
67078141LTRL 07Q6568@AC5,Baa1
67078281LULT 07Q6568@AC5,Baa1
67078291NMS0 L6Q6568@AC5,Baa1
55974481LEQ0 26Q6646*AA7,Baa2
52583561ESPS 10Q6993#AC8,A1
52583571FMD5 07Q6993#AC8,A1
52583771HLT0 26Q6993#AC8,A1
46528132ESPS 10Q7160#AJ8,Baa2
46528133ESPS 10Q7160#AJ8,Baa2
46528851LUL0 10Q7160#AJ8,Baa2
46528521FMD1 07Q7160#AK5,Baa2
46530101LTRL 07Q7160#AK5,Baa2
63389751LULB 07Q7160#AL3,Baa2
55217251LTR0 07Q7397#AS3,Baa2
55217271ESPS 10Q7397#AS3,Baa2
55168201ESPS 07Q7450@AE0,Baa2
55168131FMD1 07Q7450@AF7,Baa2
55168141FMD1 10Q7450@AF7,Baa2
55168151FMD5 07Q7450@AF7,Baa2
55168161ESPL 10Q7450@AF7,Baa2
41679671ESPL 07Q7794#AC7,Baa2
41680331LUL0 1PQ7794#AC7,Baa2
41680641ESPS 07Q7794#AC7,Baa2
9545481ESPS 10Q8277*AJ0,Baa3
9545491FMD1 07Q8277*AJ0,Baa3
21524911LUL0 07Q8277*AL5,Baa3
21525051LEQ0 10Q8277*AL5,Baa3
21524771LEQ0 26Q8277*AM3,Baa3
21524781FMD1 07Q8277*AM3,Baa3
68532391FMD5 07Q8806#AB3,Baa3
68532511ESPL 10Q8806#AB3,Baa3
68537451NMS0 L2Q8806#AB3,Baa3
68539721LEQ0 26Q8806#AC1,Baa3
68539761LTR0 07Q8806#AC1,Baa3
68532341LTR0 26Q8806#AD9,Baa3
56049491HLT0 26Q9194*AB5,Baa2
56049611ESPS 07Q9194*AB5,Baa2
56049941ESPL 10Q9194*AB5,Baa2
56049501HLT0 26Q9194*AC3,Baa2
56049511LTR0 07Q9194*AC3,Baa2
13765971DFP1 26Q9194#AC9,Baa1
13765981HLT0 26Q9194#AC9,Baa1
13765991ESPL 07Q9194#AC9,Baa1
15546871FMD1 07Q9194#AG0,Baa1
19094071LEQ0 26Q9194#AK1,Baa1
22139143LEQ0 26Q9194#AK1,Baa1
227299415LUL0 26Q9194#AK1,Baa1
24409274LEQ0 26Q9194#AK1,Baa1
264403017LUL0 26Q9194#AK1,Baa1
28212801HLT0 26Q9194#AK1,Baa1
307122419LUL0 26Q9194#AK1,Baa1
32057052LEQ0 26Q9194#AK1,Baa1
34089752HLT0 26Q9194#AK1,Baa1
361821921LUL0 26Q9194#AK1,Baa1
383429922LUL0 26Q9194#AK1,Baa1
57878201NMS0 07Q9326#AD8,Aa1
57878211FMDL 07Q9326#AD8,Aa1
65569521FMD1 07Q9389#AF7,Baa2
65569531LUL1 07Q9389#AF7,Baa2
57185841ESPS 10Q9395*AB2,A2
57185851FMD5 07Q9395*AB2,A2
57185861ESPA 10Q9395*AB2,A2
57185871FMD5 10Q9395*AB2,A2
57186081ESPL 10Q9395*AB2,A2
14912531HLT0 26W0805#AE8,A3
14912532HLT0 26W0805#AE8,A3
61002131ESPS 10W2710@AE0,Baa2
61002181ESPS 07W2710@AE0,Baa2
61002171LULA 07W2710@AF7,Baa2
