instrumentIdentifier,CNLP_rating
64833942ESPL 0700122@AA9,Baa2
64834072ESPL 1000122@AA9,Baa2
64834122LEQ0 2600122@AA9,Baa2
64835912HLT0 2600122@AA9,Baa2
65983083ESPL 0700122@AA9,Baa2
65983143ESPL 1000122@AA9,Baa2
65983181LTR0 2600122@AA9,Baa2
65983383HLTM 0700122@AA9,Baa2
67191784ESPL 0700122@AA9,Baa2
67191864ESPL 1000122@AA9,Baa2
67191924LUL0 2600122@AA9,Baa2
67192724HLTM 0700122@AA9,Baa2
68320185ESPL 0700122@AA9,Baa2
68320295ESPL 1000122@AA9,Baa2
68320345LUL0 2600122@AA9,Baa2
68320985HLTM 0700122@AA9,Baa2
70410146ESPL 0700122@AA9,Baa2
70410156ESPL 1000122@AA9,Baa2
70410216LUL0 2600122@AA9,Baa2
70410326HLTM 0700122@AA9,Baa2
71307557ESPL 0700122@AA9,Baa2
71307617ESPL 1000122@AA9,Baa2
71307637LUL0 2600122@AA9,Baa2
71307807HLTM 0700122@AA9,Baa2
67937001LTRL 0700184@AA4,A1
67937021NMS0 0700184@AA4,A1
70589572LTRL 0700184@AA4,A1
70589692NMS0 0700184@AA4,A1
68179371LTRL 0700191#AA3,A1
68179611NMS0 0700191#AA3,A1
70901012LTRL 0700191#AA3,A1
70901242NMS0 0700191#AA3,A1
68284771ESPS 1000191@AA5,A1
68284781FMD1 2600191@AA5,A1
71049362ESPS 1000191@AA5,A1
71049402FMD1 2600191@AA5,A1
68456721LEQ0 2600193*AA5,A1
71050972LEQ0 2600193*AA5,A1
68578001LTRL 0700225#AA3,A1
68578111NMS0 0700225#AA3,A1
71193812LTRL 0700225#AA3,A1
71193992NMS0 0700225#AA3,A1
659794914FMD5 0700793@AA7,A1
659795015FMD5 0700793@AA7,A1
659799414LUL0 0700793@AA7,A1
659799515LUL0 0700793@AA7,A1
662015716FMD5 0700793@AA7,A1
662017823LUL0 0700793@AA7,A1
672198717FMD5 0700793@AA7,A1
672198818FMD5 0700793@AA7,A1
672199616LUL0 0700793@AA7,A1
672199717LUL0 0700793@AA7,A1
683942621LUL0 0700793@AA7,A1
683942723FMD5 0700793@AA7,A1
697913122FMD5 0700793@AA7,A1
697913222LUL0 0700793@AA7,A1
698394219FMD5 0700793@AA7,A1
698394329FMD5 0700793@AA7,A1
698394421FMD5 0700793@AA7,A1
698396218LUL0 0700793@AA7,A1
698396329LUL0 0700793@AA7,A1
698396420LUL0 0700793@AA7,A1
710355824FMD5 0700793@AA7,A1
710355925FMD5 0700793@AA7,A1
710356026FMD5 0700793@AA7,A1
710358324LUL0 0700793@AA7,A1
710358425LUL0 0700793@AA7,A1
710358526LUL0 0700793@AA7,A1
712937430FMD5 0700793@AA7,A1
712937531FMD5 0700793@AA7,A1
712938227LUL0 0700793@AA7,A1
712938328LUL0 0700793@AA7,A1
715920332FMD5 0700793@AA7,A1
715920433FMD5 0700793@AA7,A1
715921030LUL0 0700793@AA7,A1
715921131LUL0 0700793@AA7,A1
44235071FMD5 0700802#AA4,Ba2
44235081ESPL 0700802#AA4,Ba2
71334341LUL0 26009098A*5,A1
71334391HLT0 26009098A*5,A1
30302001LUL0 0702343*AC6,Baa2
51910391HHE0 2302401@AA7,Baa3
51910721LTRL 0702401@AA7,Baa3
51911451NMS0 L5 R02401@AA7,Baa3
51911471LTRI 0702401@AA7,Baa3
53095681LEQ0 2602401@AB5,Baa3
19410431LTRM 2603040#AE2,A3
19410851LULX 0703040#AE2,A3
19411011ESPL 0703040#AE2,A3
19760481HHE0 0703040#AE2,A3
19760753ESPL 0703040#AE2,A3
24354272FMD1 0703040#AJ1,A3
24354972LEQ0 1C03040#AJ1,A3
71322581FMD1 0703063#AA2,Baa2
71322571NMS0 0703063#AB0,Baa2
71322611LUL0 2603063#AB0,Baa2
71322651NMS0 L203063#AB0,Baa2
51480501LTR0 26031100L*9,Baa1
51480701NMS0 L2031100L*9,Baa1
51480901LULA 07031100L*9,Baa1
71505121NMS0 10031100N@5,Baa1
71414191NMS0 10031100P*5,Baa1
3579201LULX 07031366BB2,Baa1
3579211ESPL 07031366BB2,Baa1
66207321LTRI 0703980@AB2,Baa2
66206712LUL0 2603980@AC0,Baa2
48503441FMD5 2604317@AG3,Baa3
50253781ESPS 1004317@AL2,Baa3
64036911LULB 0704317@AV0,Baa3
64036921FMD1 0704317@AV0,Baa3
64036931FMD1 2604317@AV0,Baa3
64560121FMD1 0704317@AW8,Baa3
64560141FMD1 2604317@AW8,Baa3
64560151LULB 0704317@AW8,Baa3
60246141ESPS 1004774#AA0,Baa2
60246291HHE0 0704774#AA0,Baa2
60246292LUL0 0704774#AA0,Baa2
61077331ESPS 1004774#AB8,Baa2
61077341LUL0 0704774#AB8,Baa2
52227741HLT0 2605070FB*0,A3
52227761LUL0 1005070FB*0,A3
66168241ESPS 1005279@AA9,A3
67077912ESPS 1005279@AA9,A3
68176943ESPS 1005279@AA9,A3
70297144ESPS 1005279@AA9,A3
71179175ESPS 1005279@AA9,A3
22572561LTRM 2605279#AD1,A3
49441371ESPA 1005279#AF6,A3
49441591ESPS 0705279#AF6,A3
49441321LUL0 0705279#AG4,A3
49441561LUL0 1P05279#AG4,A3
47078552FMD5 26055262B@7,A2
47078572FMD5 07055262B@7,A2
22503181LTRM 2605565ED#9,A2
22503381FMD1 0705565ED#9,A2
22504241LUL0 0705565EE*2,A2
48372871FMD5 2605565EG#6,A2
48371491LEQ0 2605565EG@8,A2
48371492LEQ0 2605565EG@8,A2
65909761ESPS 0705590#AA9,A3
67096502NMS0 1005606#AA1,Baa3
67096511LUL0 0705606#AA1,Baa3
67096522LTRL 0705606#AA1,Baa3
38127482ESPS 07070101E@5,A2
38127483ESPS 07070101E@5,A2
38127484ESPS 07070101E@5,A2
55117831LTR0 26070101G@3,A2
55117961LULT 07070101G@3,A2
68057611ESPL 0707086*AA0,Baa2
68057621ESPL 1007086*AA0,Baa2
68057781NMS0 L207086*AA0,Baa2
68058051NMS0 L607086*AA0,Baa2
